node,archetype,provided,consumed,net_balance,num_peers,zero_provide
node-002,poet,59,3,-159.0,54,0
node-003,poet,43,0,-120.0,40,0
node-004,poet,48,0,-123.0,41,0
node-005,poet,21,0,-63.0,21,0
node-006,poet,21,0,-54.0,18,0
node-007,poet,44,0,-108.0,36,0
node-008,poet,51,0,-141.0,45,0
node-009,poet,16,3,-45.0,18,0
node-010,poet,41,3,-117.0,43,0
node-011,poet,52,0,-141.0,47,0
node-012,poet,39,0,-99.0,33,0
node-013,poet,20,3,-57.0,23,0
node-014,poet,64,3,-156.0,56,0
node-016,poet,69,2,-156.0,51,0
node-017,poet,63,0,-150.0,50,0
node-018,poet,47,0,-132.0,44,0
node-019,poet,44,0,-132.0,44,0
node-020,poet,30,0,-81.0,27,0
node-021,poet,49,0,-141.0,47,0
node-022,poet,43,0,-129.0,43,0
node-023,poet,38,0,-114.0,38,0
node-024,poet,59,6,-147.0,53,0
node-025,poet,59,9,-120.0,48,0
node-026,poet,38,0,-114.0,38,0
node-027,poet,49,3,-129.0,47,0
node-028,poet,35,0,-96.0,31,0
node-029,poet,34,0,-96.0,32,0
node-030,poet,34,0,-90.0,30,0
node-031,poet,35,0,-81.0,27,0
node-032,critic,2,12,36.0,12,0
node-033,critic,0,7,21.0,7,1
node-034,critic,0,6,12.0,6,1
node-035,critic,0,12,30.0,12,1
node-037,critic,0,18,54.0,18,1
node-038,critic,0,21,63.0,16,1
node-039,critic,3,13,39.0,13,0
node-040,critic,0,12,36.0,9,1
node-041,critic,0,6,18.0,6,1
node-042,critic,0,12,36.0,12,1
node-043,critic,0,10,30.0,10,1
node-044,critic,0,12,36.0,12,1
node-045,critic,0,12,36.0,12,1
node-047,critic,2,17,51.0,15,0
node-048,critic,0,8,24.0,6,1
node-049,critic,0,10,24.0,10,1
node-050,critic,0,9,27.0,9,1
node-051,critic,0,9,27.0,7,1
node-052,critic,0,9,21.0,9,1
node-053,critic,0,6,18.0,6,1
node-054,critic,0,12,36.0,12,1
node-055,critic,0,6,12.0,6,1
node-056,critic,0,9,27.0,9,1
node-057,casino_host,0,3,9.0,3,1
node-059,casino_host,15,0,-6.0,6,0
node-060,casino_host,66,0,-30.0,30,0
node-061,casino_host,426,6,-123.0,132,0
node-062,gambler,0,13,33.0,12,1
node-063,gambler,0,17,45.0,17,1
node-064,gambler,0,6,18.0,6,1
node-065,gambler,0,11,27.0,11,1
node-066,gambler,0,6,18.0,6,1
node-067,gambler,0,10,30.0,10,1
node-068,gambler,0,13,39.0,13,1
node-069,gambler,0,6,12.0,6,1
node-070,gambler,0,15,45.0,15,1
node-071,gambler,0,6,18.0,6,1
node-072,gambler,0,15,39.0,15,1
node-073,gambler,0,15,39.0,15,1
node-074,gambler,0,12,36.0,12,1
node-075,gambler,0,6,18.0,6,1
node-077,gambler,0,3,3.0,3,1
node-078,gambler,0,6,18.0,5,1
node-079,gambler,3,11,33.0,11,0
node-082,gambler,0,17,51.0,17,1
node-083,gambler,0,24,72.0,21,1
node-085,gambler,0,6,12.0,6,1
node-086,gambler,0,7,21.0,7,1
node-087,gambler,0,11,33.0,11,1
node-088,gambler,0,19,45.0,19,1
node-090,gambler,0,9,27.0,9,1
node-091,gambler,0,3,9.0,3,1
node-093,gambler,0,17,45.0,17,1
node-094,gambler,0,15,39.0,12,1
node-095,gambler,0,6,18.0,6,1
node-096,gambler,0,11,21.0,8,1
node-097,gambler,0,24,72.0,24,1
node-098,gambler,0,12,30.0,12,1
node-099,gambler,0,6,12.0,6,1
node-101,gambler,0,3,3.0,3,1
node-103,gambler,0,15,33.0,12,1
node-104,gambler,0,9,21.0,9,1
node-105,gambler,0,20,60.0,20,1
node-106,gambler,0,4,12.0,4,1
node-107,gambler,0,3,3.0,3,1
node-108,gambler,0,9,27.0,9,1
node-111,gambler,0,2,6.0,2,1
node-112,advisor,0,16,42.0,16,1
node-113,advisor,0,12,30.0,12,1
node-115,advisor,0,13,33.0,13,1
node-116,advisor,0,17,51.0,17,1
node-117,advisor,0,16,36.0,13,1
node-118,advisor,1,19,51.0,19,0
node-119,advisor,0,3,9.0,3,1
node-120,advisor,0,11,27.0,8,1
node-121,advisor,0,15,39.0,15,1
node-122,advisor,0,17,51.0,15,1
node-123,advisor,0,20,60.0,18,1
node-124,advisor,0,22,60.0,19,1
node-125,advisor,0,29,81.0,24,1
node-126,advisor,0,15,39.0,15,1
node-127,advisor,0,24,72.0,18,1
node-128,advisor,0,33,99.0,31,1
node-129,advisor,0,25,63.0,22,1
node-130,advisor,0,33,93.0,29,1
node-131,advisor,0,6,18.0,6,1
node-132,advisor,0,22,60.0,16,1
node-133,advisor,0,19,51.0,14,1
node-134,advisor,0,22,66.0,18,1
node-135,advisor,0,21,57.0,21,1
node-136,advisor,0,16,48.0,16,1
node-137,advisor,0,12,36.0,12,1
node-138,advisor,0,16,42.0,13,1
node-139,advisor,2,15,39.0,15,0
node-140,advisor,0,3,3.0,3,1
node-141,advisor,0,31,93.0,30,1
node-142,advisor,0,21,57.0,16,1
node-143,advisor,0,11,33.0,11,1
node-144,advisor,0,22,60.0,21,1
node-145,advisor,0,27,75.0,24,1
node-146,advisor,2,21,63.0,18,0
node-147,advisor,0,12,36.0,10,1
node-148,advisor,0,26,78.0,19,1
node-149,advisor,0,19,57.0,19,1
node-150,advisor,0,25,75.0,25,1
