node,peer,balance,soft_limit,hard_limit,tasks_provided,tasks_consumed
node-002,ef8d62beaa0a399a,-3.0,-5.0,-10.0,1,0
node-002,c42f9b85fb584f2a,-3.0,-5.0,-10.0,1,0
node-002,6750db8116c9e2c6,-3.0,-5.0,-10.0,1,0
node-002,bfb50ce39fe6fb5f,-3.0,-5.0,-10.0,1,0
node-002,f005a98b0571796f,-3.0,-5.0,-10.0,1,0
node-002,ac0716224def36e6,-3.0,-5.0,-10.0,1,0
node-002,8a9bef89eaa11fef,-2.0,-5.0,-10.0,1,1
node-002,c253903e7c896bab,-3.0,-5.0,-10.0,2,0
node-002,386d63498dff7184,-3.0,-5.0,-10.0,1,0
node-002,d91f1a9c9b7b0653,-3.0,-5.0,-10.0,1,0
node-002,3c1cab962f5c293f,-3.0,-5.0,-10.0,1,0
node-002,4591bb7ffcb5b204,-3.0,-5.0,-10.0,1,0
node-002,b9384778def007c1,-3.0,-5.0,-10.0,1,0
node-002,74dbc2e528b1da82,-3.0,-5.0,-10.0,1,0
node-002,6ee2c05d6744e998,-3.0,-5.0,-10.0,1,0
node-002,adf14ba4f093b267,-3.0,-5.0,-10.0,1,0
node-003,4591bb7ffcb5b204,-3.0,-5.0,-10.0,1,0
node-003,74e977ac7d8aee99,-3.0,-5.0,-10.0,1,0
node-003,558b23e024fa7adb,-3.0,-5.0,-10.0,1,0
node-003,655d67d4612fe400,-3.0,-5.0,-10.0,1,0
node-003,6750db8116c9e2c6,-3.0,-5.0,-10.0,2,0
node-003,86dd76325ec902cb,-3.0,-5.0,-10.0,1,0
node-003,c253903e7c896bab,-3.0,-5.0,-10.0,1,0
node-003,e86436dd65605667,-3.0,-5.0,-10.0,1,0
node-003,b91048ea420953cb,-3.0,-5.0,-10.0,1,0
node-003,b9447b163e416363,-3.0,-5.0,-10.0,1,0
node-003,6ee2c05d6744e998,-3.0,-5.0,-10.0,1,0
node-003,2fdbd3ae6f47fddd,-3.0,-5.0,-10.0,1,0
node-004,3cffa68d82432326,-3.0,-5.0,-10.0,1,0
node-004,671922c09c3210c4,-3.0,-5.0,-10.0,1,0
node-004,ca16445d5143a0e7,-3.0,-5.0,-10.0,1,0
node-004,d751e031c1fafccd,-3.0,-5.0,-10.0,1,0
node-004,3c1cab962f5c293f,-3.0,-5.0,-10.0,1,0
node-004,b9447b163e416363,-3.0,-5.0,-10.0,1,0
node-004,1d4b12e5c18b0f3b,-3.0,-5.0,-10.0,2,0
node-004,b91048ea420953cb,-3.0,-5.0,-10.0,1,0
node-004,dd93aaec476be93b,-3.0,-5.0,-10.0,1,0
node-004,5f7e49ee2e303e5c,-3.0,-5.0,-10.0,1,0
node-005,ec1d6d3b6772d556,-3.0,-5.0,-10.0,1,0
node-005,9db1c41e546ccc2e,-3.0,-5.0,-10.0,1,0
node-005,2fdbd3ae6f47fddd,-3.0,-5.0,-10.0,1,0
node-005,c253903e7c896bab,-3.0,-5.0,-10.0,1,0
node-005,194d8af0b87ac674,-3.0,-5.0,-10.0,1,0
node-005,d91f1a9c9b7b0653,-3.0,-5.0,-10.0,1,0
node-005,c605d441159f04bc,-3.0,-5.0,-10.0,1,0
node-006,eb6cb6923a10308f,-3.0,-5.0,-10.0,1,0
node-006,a5eb3191de6ffa6b,-3.0,-5.0,-10.0,1,0
node-006,d9b88d37f065d513,-3.0,-5.0,-10.0,1,0
node-006,e12db90e0892ee81,-3.0,-5.0,-10.0,1,0
node-006,fb10c999ac2d0b64,-3.0,-5.0,-10.0,2,0
node-006,43e640d5d8c8371e,-3.0,-5.0,-10.0,1,0
node-007,86dd76325ec902cb,-3.0,-5.0,-10.0,1,0
node-007,4591bb7ffcb5b204,-3.0,-5.0,-10.0,1,0
node-007,fb10c999ac2d0b64,-3.0,-5.0,-10.0,2,0
node-007,d751e031c1fafccd,-3.0,-5.0,-10.0,1,0
node-007,dd93aaec476be93b,-3.0,-5.0,-10.0,1,0
node-007,194d8af0b87ac674,-3.0,-5.0,-10.0,1,0
node-007,b190a817b3734bed,-3.0,-5.0,-10.0,1,0
node-007,2bc5e23d76ebded2,-3.0,-5.0,-10.0,1,0
node-007,8a9bef89eaa11fef,-3.0,-5.0,-10.0,1,0
node-007,aded46021a982a74,-3.0,-5.0,-10.0,1,0
node-007,c56886caf936000b,-3.0,-5.0,-10.0,1,0
node-008,032c07081bfee611,-3.0,-5.0,-10.0,1,0
node-008,386d63498dff7184,-3.0,-5.0,-10.0,1,0
node-008,8235c01e288c02b3,-3.0,-5.0,-10.0,1,0
node-008,d88d3ebcae115e7f,-3.0,-5.0,-10.0,1,0
node-008,1c906021254af5d9,-3.0,-5.0,-10.0,1,0
node-008,d49f61d96008e225,-3.0,-5.0,-10.0,1,0
node-008,5beda33fc0b7633a,-3.0,-5.0,-10.0,1,0
node-008,43e640d5d8c8371e,-3.0,-5.0,-10.0,1,0
node-008,1650f096b8654b77,-3.0,-5.0,-10.0,1,0
node-008,b4467d9e8b197957,-3.0,-5.0,-10.0,1,0
node-008,3c1cab962f5c293f,-3.0,-5.0,-10.0,1,0
node-008,655d67d4612fe400,-3.0,-5.0,-10.0,1,0
node-008,1efd4344e76c9d7c,-3.0,-5.0,-10.0,1,0
node-009,5beda33fc0b7633a,-3.0,-5.0,-10.0,1,0
node-009,8a9bef89eaa11fef,1.0,-5.0,-10.0,0,1
node-009,671922c09c3210c4,-3.0,-5.0,-10.0,1,0
node-009,5f7e49ee2e303e5c,-3.0,-5.0,-10.0,1,0
node-009,eb6cb6923a10308f,-3.0,-5.0,-10.0,1,0
node-009,cba0976603b1fbc8,-3.0,-5.0,-10.0,1,0
node-010,763a2a9a020ee928,-3.0,-5.0,-10.0,1,0
node-010,5ffe97202b44f08f,-3.0,-5.0,-10.0,1,0
node-010,1650f096b8654b77,-3.0,-5.0,-10.0,1,0
node-010,8a9bef89eaa11fef,1.0,-5.0,-10.0,0,1
node-010,2bc5e23d76ebded2,-3.0,-5.0,-10.0,1,0
node-010,671922c09c3210c4,-3.0,-5.0,-10.0,1,0
node-010,a5eb3191de6ffa6b,-3.0,-5.0,-10.0,1,0
node-010,d9b88d37f065d513,-3.0,-5.0,-10.0,1,0
node-010,3cffa68d82432326,-3.0,-5.0,-10.0,1,0
node-010,655d67d4612fe400,-3.0,-5.0,-10.0,1,0
node-010,cce24f8843091c47,-3.0,-5.0,-10.0,1,0
node-010,d88d3ebcae115e7f,-3.0,-5.0,-10.0,1,0
node-011,5fbced3c7a6082c4,-3.0,-5.0,-10.0,1,0
node-011,e76f7cbead3e062b,-3.0,-5.0,-10.0,1,0
node-011,655d67d4612fe400,-3.0,-5.0,-10.0,1,0
node-011,cba0976603b1fbc8,-3.0,-5.0,-10.0,1,0
node-011,eb6cb6923a10308f,-3.0,-5.0,-10.0,1,0
node-011,e21f69b416288b68,-3.0,-5.0,-10.0,1,0
node-011,7f593ef1996e1b73,-3.0,-5.0,-10.0,1,0
node-011,e12db90e0892ee81,-3.0,-5.0,-10.0,1,0
node-011,1c906021254af5d9,-3.0,-5.0,-10.0,1,0
node-011,1650f096b8654b77,-3.0,-5.0,-10.0,1,0
node-011,70f79dd53ddd5599,-3.0,-5.0,-10.0,1,0
node-011,bfb50ce39fe6fb5f,-3.0,-5.0,-10.0,1,0
node-011,b9384778def007c1,-3.0,-5.0,-10.0,1,0
node-011,cce24f8843091c47,-3.0,-5.0,-10.0,1,0
node-012,1efd4344e76c9d7c,-3.0,-5.0,-10.0,1,0
node-012,74dbc2e528b1da82,-3.0,-5.0,-10.0,1,0
node-012,0a0127d893f7ad41,-3.0,-5.0,-10.0,1,0
node-012,e12db90e0892ee81,-3.0,-5.0,-10.0,1,0
node-012,b4467d9e8b197957,-3.0,-5.0,-10.0,1,0
node-012,3cffa68d82432326,-3.0,-5.0,-10.0,2,0
node-012,e86436dd65605667,-3.0,-5.0,-10.0,1,0
node-012,949f6f8d77cd11db,-3.0,-5.0,-10.0,1,0
node-012,1d4b12e5c18b0f3b,-3.0,-5.0,-10.0,1,0
node-013,b91048ea420953cb,-3.0,-5.0,-10.0,1,0
node-013,43ea76e1569028b6,1.0,-5.0,-10.0,0,1
node-013,cba0976603b1fbc8,-3.0,-5.0,-10.0,1,0
node-013,e76f7cbead3e062b,-3.0,-5.0,-10.0,1,0
node-013,f8867c71e73ec6f8,-3.0,-5.0,-10.0,1,0
node-013,ef8d62beaa0a399a,-3.0,-5.0,-10.0,1,0
node-014,adf14ba4f093b267,-3.0,-5.0,-10.0,1,0
node-014,43ea76e1569028b6,1.0,-5.0,-10.0,0,1
node-014,c683ce679a0c0008,-3.0,-5.0,-10.0,1,0
node-014,655d67d4612fe400,-3.0,-5.0,-10.0,1,0
node-014,4785d0b49292bc34,-3.0,-5.0,-10.0,1,0
node-014,74e977ac7d8aee99,-3.0,-5.0,-10.0,2,0
node-014,d88d3ebcae115e7f,-3.0,-5.0,-10.0,1,0
node-014,5beda33fc0b7633a,-3.0,-5.0,-10.0,1,0
node-014,2fdbd3ae6f47fddd,-3.0,-5.0,-10.0,2,0
node-014,cba0976603b1fbc8,-3.0,-5.0,-10.0,1,0
node-014,dd93aaec476be93b,-3.0,-5.0,-10.0,1,0
node-014,35503cea01f0efa3,-3.0,-5.0,-10.0,1,0
node-014,ca16445d5143a0e7,-3.0,-5.0,-10.0,1,0
node-014,0a0127d893f7ad41,-3.0,-5.0,-10.0,1,0
node-014,6c1e2254082fa681,-3.0,-5.0,-10.0,1,0
node-014,ebbe4c4be9677192,-3.0,-5.0,-10.0,1,0
node-014,f8867c71e73ec6f8,-3.0,-5.0,-10.0,1,0
node-016,9b1981c2c6703a09,-3.0,-5.0,-10.0,1,0
node-016,1efd4344e76c9d7c,-3.0,-5.0,-10.0,1,0
node-016,face35ada2e9bdf3,-3.0,-5.0,-10.0,2,0
node-016,a5eb3191de6ffa6b,-3.0,-5.0,-10.0,1,0
node-016,3cffa68d82432326,-3.0,-5.0,-10.0,1,0
node-016,4785d0b49292bc34,-3.0,-5.0,-10.0,1,0
node-016,1c714d38d3271647,-3.0,-5.0,-10.0,1,0
node-016,fb10c999ac2d0b64,-3.0,-5.0,-10.0,1,0
node-016,655d67d4612fe400,-3.0,-5.0,-10.0,1,0
node-016,5fbced3c7a6082c4,-3.0,-5.0,-10.0,1,0
node-016,70dc62811cc7be90,-3.0,-5.0,-10.0,1,0
node-016,1650f096b8654b77,-3.0,-5.0,-10.0,1,0
node-016,4591bb7ffcb5b204,-3.0,-5.0,-10.0,1,0
node-017,4d74c6adec864b5e,-3.0,-5.0,-10.0,1,0
node-017,0a0127d893f7ad41,-3.0,-5.0,-10.0,2,0
node-017,5ca3739a0a19108a,-3.0,-5.0,-10.0,1,0
node-017,2bc5e23d76ebded2,-3.0,-5.0,-10.0,2,0
node-017,b4467d9e8b197957,-3.0,-5.0,-10.0,1,0
node-017,daf87e2738e92799,-3.0,-5.0,-10.0,1,0
node-017,cdfedf9ced9f9d92,-3.0,-5.0,-10.0,1,0
