node,document_type,count
node-001,mail_receive_receipt,3
node-002,credit_note,27
node-002,execution_receipt,28
node-002,mail_delivery_receipt,69
node-002,mail_receive_receipt,46
node-002,order_ack,28
node-002,order_executing,28
node-002,settlement_confirmation,3
node-002,settlement_prepared,3
node-002,settlement_processed,3
node-003,credit_note,15
node-003,execution_receipt,17
node-003,mail_delivery_receipt,28
node-003,mail_receive_receipt,60
node-003,order_ack,17
node-003,order_executing,17
node-004,credit_note,19
node-004,execution_receipt,20
node-004,mail_delivery_receipt,27
node-004,mail_receive_receipt,58
node-004,order_ack,20
node-004,order_executing,20
node-004,settlement_confirmation,2
node-004,settlement_prepared,2
node-004,settlement_processed,2
node-005,credit_note,7
node-005,execution_receipt,7
node-005,mail_delivery_receipt,14
node-005,mail_receive_receipt,14
node-005,order_ack,7
node-005,order_executing,7
node-006,credit_note,6
node-006,execution_receipt,7
node-006,mail_delivery_receipt,12
node-006,mail_receive_receipt,24
node-006,order_ack,7
node-006,order_executing,7
node-007,credit_note,18
node-007,execution_receipt,19
node-007,mail_delivery_receipt,47
node-007,mail_receive_receipt,65
node-007,order_ack,19
node-007,order_executing,19
node-007,settlement_confirmation,2
node-007,settlement_prepared,2
node-007,settlement_processed,2
node-008,credit_note,20
node-008,execution_receipt,21
node-008,mail_delivery_receipt,29
node-008,mail_receive_receipt,55
node-008,order_ack,21
node-008,order_executing,21
node-008,settlement_confirmation,1
node-008,settlement_prepared,2
node-008,settlement_processed,1
node-009,credit_note,9
node-009,execution_receipt,10
node-009,mail_delivery_receipt,20
node-009,mail_receive_receipt,55
node-009,order_ack,10
node-009,order_executing,10
node-009,settlement_confirmation,2
node-009,settlement_prepared,2
node-009,settlement_processed,2
node-010,credit_note,18
node-010,execution_receipt,19
node-010,mail_delivery_receipt,33
node-010,mail_receive_receipt,33
node-010,order_ack,19
node-010,order_executing,19
node-010,settlement_confirmation,1
node-010,settlement_prepared,1
node-010,settlement_processed,1
node-011,credit_note,22
node-011,execution_receipt,23
node-011,mail_delivery_receipt,55
node-011,mail_receive_receipt,49
node-011,order_ack,23
node-011,order_executing,23
node-011,settlement_confirmation,3
node-011,settlement_prepared,3
node-011,settlement_processed,3
node-012,credit_note,17
node-012,execution_receipt,23
node-012,mail_delivery_receipt,48
node-012,mail_receive_receipt,41
node-012,order_ack,23
node-012,order_executing,23
node-012,settlement_confirmation,2
node-012,settlement_prepared,2
node-012,settlement_processed,2
node-013,credit_note,10
node-013,execution_receipt,12
node-013,mail_delivery_receipt,40
node-013,mail_receive_receipt,44
node-013,order_ack,12
node-013,order_executing,12
node-014,credit_note,24
node-014,execution_receipt,26
node-014,mail_delivery_receipt,63
node-014,mail_receive_receipt,64
node-014,order_ack,26
node-014,order_executing,26
node-014,settlement_confirmation,2
node-014,settlement_prepared,2
node-014,settlement_processed,2
node-016,credit_note,24
node-016,execution_receipt,26
node-016,mail_delivery_receipt,63
node-016,mail_receive_receipt,54
node-016,order_ack,26
node-016,order_executing,26
node-016,settlement_confirmation,2
node-016,settlement_prepared,2
node-016,settlement_processed,2
node-017,credit_note,20
node-017,execution_receipt,23
node-017,mail_delivery_receipt,58
node-017,mail_receive_receipt,56
node-017,order_ack,24
node-017,order_executing,24
node-017,settlement_confirmation,1
node-017,settlement_prepared,1
node-017,settlement_processed,1
node-018,credit_note,19
node-018,execution_receipt,22
node-018,mail_delivery_receipt,68
node-018,mail_receive_receipt,38
node-018,order_ack,22
node-018,order_executing,22
node-018,settlement_confirmation,1
node-018,settlement_prepared,1
node-018,settlement_processed,1
node-019,credit_note,17
node-019,execution_receipt,19
node-019,mail_delivery_receipt,46
node-019,mail_receive_receipt,17
node-019,order_ack,19
node-019,order_executing,19
node-020,credit_note,13
node-020,execution_receipt,13
node-020,mail_delivery_receipt,32
node-020,mail_receive_receipt,45
node-020,order_ack,13
node-020,order_executing,13
node-020,settlement_confirmation,2
node-020,settlement_prepared,2
node-020,settlement_processed,2
node-021,credit_note,18
node-021,execution_receipt,21
node-021,mail_delivery_receipt,68
node-021,mail_receive_receipt,40
node-021,order_ack,21
node-021,order_executing,21
node-021,settlement_confirmation,1
node-021,settlement_prepared,1
node-021,settlement_processed,1
node-022,credit_note,21
node-022,execution_receipt,22
node-022,mail_delivery_receipt,41
node-022,mail_receive_receipt,38
node-022,order_ack,22
node-022,order_executing,22
node-022,settlement_confirmation,2
node-022,settlement_prepared,2
node-022,settlement_processed,2
node-023,credit_note,19
node-023,execution_receipt,23
node-023,mail_delivery_receipt,32
node-023,mail_receive_receipt,41
node-023,order_ack,23
node-023,order_executing,23
node-023,settlement_confirmation,1
node-023,settlement_prepared,1
node-023,settlement_processed,1
node-024,credit_note,19
node-024,execution_receipt,20
node-024,mail_delivery_receipt,47
node-024,mail_receive_receipt,33
node-024,order_ack,20
node-024,order_executing,20
node-024,settlement_confirmation,1
node-024,settlement_prepared,1
node-024,settlement_processed,1
node-025,credit_note,17
node-025,execution_receipt,19
node-025,mail_delivery_receipt,42
node-025,mail_receive_receipt,40
node-025,order_ack,19
node-025,order_executing,19
node-025,settlement_confirmation,1
node-025,settlement_prepared,1
node-025,settlement_processed,1
node-026,credit_note,18
node-026,execution_receipt,20
node-026,mail_delivery_receipt,27
node-026,mail_receive_receipt,47
node-026,order_ack,20
node-026,order_executing,20
node-027,credit_note,17
node-027,execution_receipt,20
node-027,mail_delivery_receipt,52
node-027,mail_receive_receipt,49
node-027,order_ack,20
node-027,order_executing,20
node-028,credit_note,15
node-028,execution_receipt,16
node-028,mail_delivery_receipt,26
node-028,mail_receive_receipt,40
node-028,order_ack,16
node-028,order_executing,16
node-028,settlement_confirmation,2
node-028,settlement_prepared,2
node-028,settlement_processed,1
node-029,credit_note,15
node-029,execution_receipt,18
node-029,mail_delivery_receipt,33
node-029,mail_receive_receipt,25
node-029,order_ack,18
node-029,order_executing,18
node-029,settlement_confirmation,1
node-029,settlement_prepared,1
node-029,settlement_processed,1
node-030,credit_note,16
node-030,execution_receipt,17
node-030,mail_delivery_receipt,38
node-030,mail_receive_receipt,40
node-030,order_ack,17
node-030,order_executing,17
node-030,settlement_confirmation,2
node-030,settlement_prepared,2
node-030,settlement_processed,2
node-031,credit_note,13
node-031,execution_receipt,16
node-031,mail_delivery_receipt,31
node-031,mail_receive_receipt,55
node-031,order_ack,16
node-031,order_executing,16
node-032,mail_delivery_receipt,5
node-032,mail_receive_receipt,58
node-033,mail_delivery_receipt,36
node-033,mail_receive_receipt,26
node-034,mail_delivery_receipt,39
node-034,mail_receive_receipt,16
node-035,mail_delivery_receipt,14
node-035,mail_receive_receipt,25
node-036,mail_delivery_receipt,20
node-036,mail_receive_receipt,10
node-037,mail_delivery_receipt,14
node-037,mail_receive_receipt,46
node-038,mail_delivery_receipt,9
node-038,mail_receive_receipt,15
node-038,settlement_accepted,2
node-038,settlement_prepared,2
node-039,mail_delivery_receipt,9
node-039,mail_receive_receipt,32
node-040,mail_delivery_receipt,30
node-040,mail_receive_receipt,34
node-040,settlement_accepted,1
node-040,settlement_prepared,1
node-041,mail_delivery_receipt,7
node-041,mail_receive_receipt,16
node-042,mail_delivery_receipt,10
node-042,mail_receive_receipt,12
node-043,mail_delivery_receipt,9
node-043,mail_receive_receipt,7
node-044,mail_delivery_receipt,19
node-044,mail_receive_receipt,25
node-045,mail_delivery_receipt,5
node-045,mail_receive_receipt,9
node-047,mail_delivery_receipt,19
node-047,mail_receive_receipt,26
node-047,settlement_accepted,1
node-047,settlement_prepared,1
node-048,mail_delivery_receipt,21
node-048,mail_receive_receipt,26
node-048,settlement_accepted,1
node-048,settlement_prepared,1
node-049,mail_delivery_receipt,29
node-049,mail_receive_receipt,25
node-050,mail_delivery_receipt,7
node-050,mail_receive_receipt,17
node-051,mail_delivery_receipt,8
node-051,mail_receive_receipt,17
node-051,settlement_accepted,1
node-051,settlement_prepared,1
node-052,mail_delivery_receipt,12
node-052,mail_receive_receipt,11
node-053,mail_delivery_receipt,12
node-053,mail_receive_receipt,5
node-054,mail_delivery_receipt,4
node-054,mail_receive_receipt,30
node-055,mail_delivery_receipt,15
node-055,mail_receive_receipt,6
node-056,mail_delivery_receipt,17
node-056,mail_receive_receipt,17
node-057,credit_note,7
node-057,execution_receipt,7
node-057,mail_delivery_receipt,14
node-057,mail_receive_receipt,4
node-057,order_ack,7
node-057,order_executing,7
node-059,credit_note,59
node-059,execution_receipt,59
node-059,mail_delivery_receipt,61
node-059,mail_receive_receipt,7
node-059,order_ack,59
node-059,order_executing,59
node-060,credit_note,47
node-060,execution_receipt,47
node-060,mail_delivery_receipt,50
node-060,mail_receive_receipt,5
node-060,order_ack,48
node-060,order_executing,48
